TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,Pythag,RankPythag
Pittsburgh,68.0189,189,66.5928,254,110.2331,22,114.0321,9,87.4444,1,87.4020,2,0.955150,1
Kentucky,69.1844,143,69.6425,114,111.4207,11,113.9480,11,92.8356,13,87.8649,3,0.952090,2
Kansas,73.7819,20,73.0948,21,110.4404,20,113.2542,15,90.7482,7,87.9530,4,0.948219,3
Arizona,75.8209,6,74.1442,10,110.8304,17,115.0089,7,92.1421,11,90.3857,11,0.941067,4
Syracuse,72.3494,40,72.0914,41,109.3354,26,113.5390,14,95.8250,44,91.2414,13,0.925141,5
Illinois,67.8445,197,68.9161,141,110.0975,23,111.5897,23,90.8364,8,89.7244,8,0.924700,6
Duke,72.9194,32,71.7949,48,110.7012,18,113.9630,10,95.0973,34,92.0788,16,0.920718,7
Texas,70.8763,78,70.8839,67,111.5937,10,120.3275,1,97.9766,83,97.3313,80,0.919762,8
Oklahoma,64.2815,298,64.0723,300,108.0222,39,109.4783,33,92.5321,12,89.2390,6,0.912990,9
Marquette,67.4845,217,67.1923,224,115.1787,1,119.8606,2,101.6365,186,99.1830,119,0.898226,10
Michigan St.,65.1096,287,64.6774,291,103.6774,101,108.6650,47,93.6923,22,89.9843,9,0.897459,11
Wisconsin,63.2309,310,63.1214,311,111.1819,12,111.7937,22,93.7792,23,92.5821,21,0.897379,12
Mississippi St.,66.1570,262,65.6918,275,103.8858,96,105.1976,92,90.0583,4,87.1491,1,0.897019,13
Maryland,73.1892,27,73.1370,20,107.9854,40,109.1249,37,90.6372,6,90.6246,12,0.894383,14
Florida,66.9874,237,66.6155,253,110.9843,14,114.5168,8,95.7468,42,95.2542,48,0.892639,15
Louisville,72.2447,44,73.9979,13,112.2976,5,113.9055,12,94.3517,26,94.7656,38,0.892406,16
Saint Joseph's,65.4416,278,65.5855,278,106.2558,58,107.0623,63,89.5714,3,89.2776,7,0.889839,17
Connecticut,73.1661,28,72.4984,32,107.8571,42,110.6086,24,97.0732,66,92.4440,19,0.887259,18
Georgia,69.3953,133,69.1906,131,112.6167,4,118.2750,3,104.4694,245,99.0766,115,0.884614,19
Notre Dame,71.7910,53,70.7813,74,108.9704,28,115.4094,6,98.0793,87,97.1519,73,0.878726,20
Wake Forest,69.6424,122,69.0375,135,110.9674,15,112.8755,16,96.9407,63,95.1510,46,0.877011,21
Xavier,69.2030,140,69.3542,124,110.9351,16,111.8719,20,94.8233,31,94.6565,36,0.872322,22
Oklahoma St.,68.2045,180,68.3750,174,100.1900,186,103.3577,121,91.3402,9,88.5623,5,0.855280,23
Memphis,70.4435,93,69.8187,108,105.1686,77,109.7353,30,93.8353,24,94.1575,30,0.853294,24
Missouri,68.4879,167,67.5303,206,105.1969,75,110.4999,26,98.4195,101,94.8491,40,0.852755,25
LSU,68.1105,185,69.2040,130,106.8907,52,108.7242,46,93.3732,20,93.6869,28,0.847076,26
Purdue,69.7122,119,70.8742,68,102.3716,137,104.1861,105,93.5362,21,90.0313,10,0.842806,27
Texas Tech,68.0668,187,67.2991,216,104.9630,80,107.8685,54,96.6003,57,93.4927,26,0.838191,28
Arizona St.,69.7580,117,68.6088,156,108.4820,33,112.5214,17,100.0190,144,97.5399,84,0.837962,29
BYU,65.9834,265,66.6482,251,108.5940,31,107.1835,61,95.5484,40,92.9268,22,0.837725,30
Georgetown,73.3916,25,72.0203,42,101.4780,162,106.5247,71,93.1198,16,92.4818,20,0.835580,31
Creighton,69.3039,137,70.1254,92,113.5228,2,109.5912,31,93.3139,17,95.5528,54,0.828693,32
Gonzaga,69.2016,141,68.4987,161,109.7231,24,111.9134,19,97.8477,82,97.6874,87,0.826849,33
