TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
502,Air Force,48.9394,119,22.8969,64,30.1456,45,28.7879,32
503,Akron,45.178,17,22.5208,83,35.5009,264,34.3284,116
504,Alabama,47.4546,68,17.8556,323,34.592,227,24.8992,5
505,Alabama A&M,44.243,13,22.3069,97,40.5926,331,39.8219,233
506,Alabama St.,47.973,87,21.7411,134,36.415,299,42.471,270
507,Albany,49.7636,153,21.4004,154,30.9167,62,38.1797,201
508,Alcorn St.,50.3049,179,20.6269,193,34.1954,202,50.7927,329
509,American,45.836,29,21.5804,144,29.4089,25,37.7963,194
510,Appalachian St.,50.5716,192,22.857,66,34.6116,228,34.5969,121
511,Arizona,50.7157,199,16.9738,332,31.421,74,19.5296,1
512,Arizona St.,50.1072,167,22.2048,105,32.0571,97,41.0293,252
515,Arkansas,46.7148,45,20.3443,210,33.0958,151,30.8611,54
513,Arkansas Little Rock,52.8387,282,19.4926,255,30.8714,61,34.8387,125
514,Arkansas Pine Bluff,45.3481,19,20.6353,192,33.5493,170,38.2625,202
516,Arkansas St.,48.4791,102,18.7987,286,35.4825,262,36.8278,175
517,Army,49.1459,125,24.3012,25,31.3921,73,44.1281,292
518,Auburn,51.9026,248,22.0175,118,32.4154,113,34.2473,115
519,Austin Peay,51.4242,224,23.0914,59,36.8235,302,35.9394,154
520,Ball St.,51.7382,241,25.4897,11,32.9412,144,45.5351,303
521,Baylor,50.6195,197,19.6651,249,33.7908,183,40.413,248
522,Belmont,43.7092,5,19.4167,261,33.6367,174,36.3834,166
523,Bethune Cookman,50.695,198,22.0626,114,33.5063,168,43.3065,285
524,Binghamton,49.7382,151,22.3529,93,33.1982,154,39.267,228
526,Boise St.,47.5216,73,19.2431,269,31.508,77,30.8728,55
527,Boston College,49.0991,123,18.1444,317,37.0981,306,24.4745,3
528,Boston University,48.1431,93,22.0448,116,34.1152,196,39.2303,225
529,Bowling Green,47.9479,86,21.3458,158,33.6476,175,52.6384,331
530,Bradley,53.1851,288,23.0651,61,35.0655,246,38.715,215
536,Brigham Young,48.9311,118,18.7881,287,29.1684,22,36.9321,181
531,Brown,51.5225,229,23.929,36,34.8877,240,33.91,108
533,Bucknell,48.3231,99,22.4099,88,25.3682,1,34.976,127
534,Buffalo,51.8519,245,22.5952,80,29.1145,19,46.4481,310
535,Butler,45.9375,32,21.5229,149,33.1892,153,42.3125,266
538,Cal Poly,49.8504,156,19.5315,253,33.7884,182,31.3585,68
564,Cal St. Fullerton,51.3181,222,21.415,153,32.6045,125,35.5009,146
565,Cal St. Northridge,51.8277,244,22.6225,79,29.4147,26,56.201,335
539,California,52.0066,251,18.9293,279,31.1258,68,31.6658,74
540,Campbell,52.933,284,22.3532,92,35.5281,267,32.9828,91
541,Canisius,51.6064,234,21.4752,150,35.6095,270,39.3574,230
543,Centenary,54.4698,316,24.2853,27,38.1818,319,48.5204,319
544,Central Connecticut,49.9734,162,20.8507,184,32.8999,141,29.3617,35
809,Central Florida,47.3599,65,21.5454,147,33.4484,164,39.3432,229
537,Central Michigan,52.0315,253,24.0059,32,33.8373,186,54.4561,333
545,Charleston Southern,54.3394,313,18.1421,318,34.5679,226,30.1166,45
546,Charlotte,54.1403,308,20.8654,183,28.5273,10,39.823,235
547,Chattanooga,52.1779,257,22.0659,113,30.1158,43,29.9456,43
548,Chicago St.,55.8389,327,22.3068,98,39.486,328,41.3423,256
549,Cincinnati,52.0143,252,22.389,91,32.3753,111,37.9467,198
551,Clemson,49.9489,159,24.7833,18,33.3333,158,29.8568,41
552,Cleveland St.,51.3105,221,20.915,177,38.5371,322,38.9785,219
553,Coastal Carolina,53.2401,291,23.299,50,37.1445,307,35.266,138
555,Colgate,48.796,113,21.9951,119,33.5616,172,36.3314,164
554,College of Charleston,45.8565,30,20.0794,220,34.2835,206,25.9222,6
556,Colorado,53.9166,304,19.4982,254,32.4791,118,40.3664,246
557,Colorado St.,50.285,178,19.9376,233,29.4721,29,36.4155,167
558,Columbia,51.0448,213,19.3945,263,29.45,27,41.4925,257
559,Connecticut,41.9089,1,21.6371,139,32.8131,136,30.9929,60
560,Coppin St.,53.0477,286,23.9701,34,39.9626,329,37.3203,186
561,Cornell,49.2621,130,20.4578,198,32.1729,103,32.4666,82
562,Creighton,48.0622,89,21.9219,125,31.6822,79,31.4739,70
567,Dartmouth,51.5909,233,22.4026,90,34.2154,204,48.9394,320
568,Davidson,49.4031,136,22.9635,62,27.6949,3,30.8736,56
