TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
502,Air Force,58.1826,1,18.8931,43,24.5335,322,37.1711,169
822,Utah St.,56.5104,2,21.1764,154,38.8205,20,42.1131,54
607,Gonzaga,56.4909,3,19.1625,49,38.1687,31,41.0431,67
525,Birmingham Southern,56.3336,4,23.4629,270,35.6,91,42.5649,51
779,Saint Joseph's,56.1196,5,16.8828,5,29.6487,290,33.6992,250
752,Samford,55.8984,6,23.093,250,21.1128,324,31.216,285
671,Michigan St.,55.497,7,21.7313,185,32.512,217,38.578,123
722,Oklahoma St.,55.4921,8,19.7699,82,37.6276,41,39.3148,104
592,Florida,55.4683,9,21.062,146,31.1735,260,35.7184,202
642,Lafayette,55.3353,10,21.6919,181,27.8829,307,40.5912,76
687,Murray St.,54.7437,11,19.1819,50,35.2662,102,35.9324,196
522,Belmont,54.3464,12,21.265,159,30.1818,283,34.0736,240
547,Chattanooga,54.3182,13,22.3122,218,35.6497,87,39.1558,108
511,Arizona,54.257,14,19.4146,59,38.5841,21,33.5397,253
774,Southern Utah,54.2075,15,24.0627,292,26.8924,316,40.1961,86
725,Oregon,54.1455,16,21.3843,166,32.3218,227,37.8455,149
536,Brigham Young,53.9601,17,20.7021,121,33.9074,157,43.2507,40
839,Wake Forest,53.9374,18,19.5599,65,37.7273,36,44.7141,21
736,Princeton,53.7975,19,21.4647,168,31.5254,254,34.9683,222
724,Oral Roberts,53.6902,20,20.4552,108,31.1098,263,38.3644,136
825,Virginia Commonwealth,53.6028,21,23.6477,279,36.0952,78,35.9695,195
845,Wisconsin Milwaukee,53.5419,22,21.8549,191,36.9694,55,41.1452,63
728,Pennsylvania,53.2476,23,20.4102,106,33.2965,184,34.912,223
577,Duke,53.2176,24,19.3801,57,39.0293,15,41.2037,61
559,Connecticut,53.2043,25,19.3663,56,41.6056,3,34.4569,233
582,Eastern Washington,53.0423,26,22.1311,208,30.0397,287,39.2196,105
817,Nevada Las Vegas,53.0387,27,21.6595,180,31.3106,258,42.8484,50
698,Nebraska,53.0165,28,20.5439,113,36.7388,64,37.66,155
798,Toledo,52.9954,29,20.8219,130,32.4192,222,37.788,151
821,Utah,52.9785,30,22.2595,213,37.0531,51,34.474,232
811,Louisiana Lafayette,52.8571,31,20.4948,109,35.5372,94,34.2222,237
640,Kentucky,52.793,32,21.1555,152,36.9804,53,34.3373,235
623,Illinois,52.7909,33,18.0354,15,36.8084,59,30.0685,297
695,North Carolina St.,52.7251,34,19.9024,89,32.8493,202,35.6635,204
783,Stanford,52.7103,35,20.8823,135,37.0672,50,36.7024,178
727,Pacific,52.7061,36,21.3336,163,31.1433,262,45.2486,18
800,Troy St.,52.6923,37,15.2621,2,35.312,101,26.1026,323
824,Texas El Paso,52.6878,38,19.3324,53,31.7833,246,44.5938,23
605,Georgia St.,52.5783,39,21.9733,200,37.3192,47,33.6815,251
606,Georgia Tech,52.5305,40,20.8613,132,32.8814,200,38.2738,138
781,St. Mary's,52.4839,41,22.9995,249,38.3533,25,44.1936,27
576,Drexel,52.4495,42,18.3888,23,26.9975,314,36.3748,186
503,Akron,52.4464,43,21.072,147,33.6245,168,46.1126,13
846,Wichita St.,52.3867,44,21.9855,202,33.4968,172,39.2145,106
745,Robert Morris,52.3582,45,20.5082,110,27.5172,309,33.9029,245
634,Jacksonville St.,52.3327,46,19.584,68,32.866,201,37.3901,163
580,Eastern Kentucky,52.2163,47,22.3824,221,32.4604,218,41.2357,60
549,Cincinnati,52.2059,48,17.5168,10,36.9714,54,37.963,146
835,Western Kentucky,52.2029,49,21.888,192,40.0429,9,39.7864,95
737,Providence,52.1985,50,22.3335,219,36.8004,60,34.7362,225
675,Mississippi St.,52.1518,51,21.1971,155,41.1439,4,40.6002,75
587,Evansville,52.1311,52,22.5517,231,28.1861,306,36.8525,175
556,Colorado,52.0754,53,21.0036,141,34.6928,124,45.083,19
809,Central Florida,51.9484,54,22.6887,238,37.7114,38,29.5564,303
827,Vanderbilt,51.9221,55,18.6461,37,32.5285,216,35.2376,217
701,New Mexico,51.8491,56,19.7534,80,30.8428,272,40.8302,71
613,Hawaii,51.8213,57,19.6181,74,35.5112,97,29.539,304
534,Buffalo,51.7975,58,21.1236,149,35.8824,84,39.7244,96
713,Northern Arizona,51.7892,59,22.4013,222,28.8099,303,37.0202,173
595,Florida St.,51.7232,60,22.4277,225,34.4984,132,33.5186,254
